Name,Slack,Levels,High Fanout,From,To,Total Delay,Logic Delay,Net Delay,Requirement,Source Clock,Destination Clock,Exception,Clock Uncertainty
Path 1,-0.69,15,11,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch4/x_cand_16_s1e_reg[0]_rep/C,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch4/cand_r_s2a_reg[0][2]/D,10.71,4.85,5.86,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 2,-0.63,13,5,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch10/x_mod55_step1_reg_reg[2]_rep__0/C,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch10/cand_r_s2c1_reg[4][2]/D,10.50,4.94,5.56,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 3,-0.63,13,5,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch10/x_mod55_step1_reg_reg[2]_rep__0/C,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch10/cand_r_s2c1_reg[4][0]/D,10.50,4.94,5.56,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 4,-0.62,13,5,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch10/x_mod55_step1_reg_reg[2]_rep__0/C,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch10/cand_r_s2c1_reg[4][3]/D,10.53,4.97,5.56,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 5,-0.61,13,5,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch10/x_mod55_step1_reg_reg[2]_rep__0/C,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch10/cand_r_s2c1_reg[4][1]/D,10.53,4.97,5.56,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 6,-0.60,15,5,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch6/coeff_raw_s1c_reg[5]_rep__0/C,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch6/coeff_mod_s1d_reg[2]/D,10.49,4.55,5.95,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 7,-0.57,13,12,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch3/x_cand_16_s2a_reg[7]_rep__1/C,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch3/cand_r_s2b1_reg[2][2]/D,10.44,4.41,6.03,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 8,-0.55,14,6,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch11/x_mod53_step1_reg_reg[7]_rep__3/C,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch11/cand_r_s2_reg[5][0]/D,10.56,4.93,5.63,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 9,-0.55,15,5,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch6/coeff_raw_s1c_reg[5]_rep__0/C,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch6/coeff_mod_s1d_reg[3]/D,10.49,4.54,5.95,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 10,-0.55,14,6,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch11/x_mod53_step1_reg_reg[7]_rep__3/C,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch11/cand_r_s2_reg[5][3]/D,10.56,4.93,5.63,10.00,sys_clk_pin,sys_clk_pin,,0.04
