Name,Slack,Levels,High Fanout,From,To,Total Delay,Logic Delay,Net Delay,Requirement,Source Clock,Destination Clock,Exception,Clock Uncertainty
Path 1,-0.63,13,11,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch6/coeff_raw_s1c_reg[2]/C,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch6/coeff_mod_s1d_reg[2]/D,10.63,4.33,6.29,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 2,-0.58,13,11,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch6/coeff_raw_s1c_reg[2]/C,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch6/coeff_mod_s1d_reg[3]/D,10.62,4.33,6.29,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 3,-0.57,13,7,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch3/x_cand_16_s2a_reg[5]_rep__0/C,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch3/cand_r_s2b1_reg[2][2]/D,10.55,4.40,6.15,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 4,-0.52,13,7,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch3/x_cand_16_s2a_reg[5]_rep__0/C,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch3/cand_r_s2b1_reg[2][3]/D,10.55,4.39,6.15,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 5,-0.50,13,7,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch8/x_cand_16_s2a_reg[2]_rep__0/C,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch8/cand_r_s2b1_reg[2][0]/D,10.50,4.95,5.56,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 6,-0.49,13,7,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch8/x_cand_16_s2a_reg[2]_rep__0/C,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch8/cand_r_s2b1_reg[2][4]/D,10.50,4.95,5.56,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 7,-0.49,13,11,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch6/coeff_raw_s1c_reg[2]/C,u_fsm/u_engine/u_dec_b/u_dec_2nrm/ch6/coeff_mod_s1d_reg[0]/D,10.49,4.33,6.15,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 8,-0.48,13,7,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch8/x_cand_16_s2a_reg[2]_rep__0/C,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch8/cand_r_s2b1_reg[2][1]/D,10.53,4.97,5.56,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 9,-0.48,13,10,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch12/x_mod55_step1_reg_reg[2]/C,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch12/cand_r_s2c1_reg[4][2]/D,10.37,4.81,5.55,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 10,-0.47,13,10,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch12/x_mod55_step1_reg_reg[2]/C,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch12/cand_r_s2c1_reg[4][0]/D,10.37,4.81,5.55,10.00,sys_clk_pin,sys_clk_pin,,0.04
