Name,Slack,Levels,High Fanout,From,To,Total Delay,Logic Delay,Net Delay,Requirement,Source Clock,Destination Clock,Exception,Clock Uncertainty
Path 1,-1.19,18,63,u_fsm/u_engine/u_enc/u_enc_2nrm/data_in_A_reg_reg[2]/C,u_fsm/u_engine/u_enc/u_enc_2nrm/residues_out_A_reg[12]/D,11.14,5.55,5.59,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 2,-1.15,17,63,u_fsm/u_engine/u_enc/u_enc_2nrm/data_in_A_reg_reg[2]/C,u_fsm/u_engine/u_enc/u_enc_2nrm/residues_out_A_reg[13]/D,11.14,5.80,5.35,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 3,-1.14,14,6,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch8/x_cand_16_s2c1_reg[4]_rep__0/C,u_fsm/u_engine/u_dec_a/u_dec_2nrm/ch8/cand_r_s2_reg[5][1]/D,11.09,5.16,5.93,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 4,-1.13,16,62,u_fsm/u_engine/u_enc/u_enc_2nrm/data_in_A_reg_reg[0]/C,u_fsm/u_engine/u_enc/u_enc_2nrm/residues_out_A_reg[7]/D,10.88,5.82,5.06,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 5,-1.11,15,67,u_fsm/u_engine/u_enc/u_enc_2nrm/data_in_A_reg_reg[3]/C,u_fsm/u_engine/u_enc/u_enc_2nrm/residues_out_A_reg[3]/D,10.81,5.31,5.50,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 6,-1.10,16,62,u_fsm/u_engine/u_enc/u_enc_2nrm/data_in_A_reg_reg[0]/C,u_fsm/u_engine/u_enc/u_enc_2nrm/residues_out_A_reg[11]/D,10.81,5.82,4.99,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 7,-1.10,17,63,u_fsm/u_engine/u_enc/u_enc_2nrm/data_in_A_reg_reg[2]/C,u_fsm/u_engine/u_enc/u_enc_2nrm/residues_out_A_reg[16]/D,11.05,5.77,5.28,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 8,-1.10,16,62,u_fsm/u_engine/u_enc/u_enc_2nrm/data_in_A_reg_reg[0]/C,u_fsm/u_engine/u_enc/u_enc_2nrm/residues_out_A_reg[6]/D,10.81,5.82,4.99,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 9,-1.08,16,62,u_fsm/u_engine/u_enc/u_enc_2nrm/data_in_A_reg_reg[0]/C,u_fsm/u_engine/u_enc/u_enc_2nrm/residues_out_A_reg[8]/D,10.79,5.48,5.31,10.00,sys_clk_pin,sys_clk_pin,,0.04
Path 10,-1.08,16,62,u_fsm/u_engine/u_enc/u_enc_2nrm/data_in_A_reg_reg[0]/C,u_fsm/u_engine/u_enc/u_enc_2nrm/residues_out_A_reg[10]/D,10.79,5.48,5.31,10.00,sys_clk_pin,sys_clk_pin,,0.04
